Masse,Masse Wurzel,Periodendauer,Frequenz
50,7.071,0.365,2.738
70,8.367,0.423,2.362
100,10.000,0.496,2.014
120,10.954,0.540,1.853
150,12.247,0.598,1.673
170,13.038,0.634,1.578
200,14.142,0.684,1.462
220,14.832,0.716,1.397
250,15.811,0.760,1.316
270,16.432,0.791,1.265
