Masse,Wurzel der Masse,Periodendauer,Frequenz
150,12.247,0.456,2.194
200,14.142,0.523,1.910
250,15.811,0.581,1.720
300,17.321,0.636,1.573
350,18.708,0.685,1.460
400,20.000,0.731,1.368
450,21.213,0.774,1.291
500,22.361,0.817,1.224
